Date,Close,High,Low,Open,Volume,ema20
2025-02-19 09:30:00-05:00,610.16,610.2,609.75,610.08,605051.0,
2025-02-19 09:35:00-05:00,609.99,610.27,609.95,610.15,408911.0,
2025-02-19 09:40:00-05:00,610.04,610.26,609.91,609.97,200288.0,
2025-02-19 09:45:00-05:00,609.82,610.23,609.68,610.04,218529.0,
2025-02-19 09:50:00-05:00,610.1,610.18,609.74,609.8,184169.0,
2025-02-19 09:55:00-05:00,609.92,610.17,609.85,610.09,172348.0,
2025-02-19 10:00:00-05:00,609.7,610.24,609.57,609.92,187451.0,
2025-02-19 10:05:00-05:00,609.72,610.0,609.56,609.71,130116.0,
2025-02-19 10:10:00-05:00,609.69,609.84,609.59,609.74,140252.0,
2025-02-19 10:15:00-05:00,609.94,610.15,609.6,609.67,165124.0,
2025-02-19 10:20:00-05:00,609.96,610.06,609.73,609.96,152856.0,
2025-02-19 10:25:00-05:00,610.06,610.18,609.89,609.97,174096.0,
2025-02-19 10:30:00-05:00,610.47,610.89,610.02,610.06,535276.0,
2025-02-19 10:35:00-05:00,610.38,610.59,610.27,610.48,132414.0,
2025-02-19 10:40:00-05:00,610.53,610.54,610.32,610.38,102971.0,
2025-02-19 10:45:00-05:00,610.5,610.65,610.39,610.55,130689.0,
2025-02-19 10:50:00-05:00,610.4,610.5,610.33,610.49,161240.0,
2025-02-19 10:55:00-05:00,610.14,610.4,609.82,610.39,167264.0,
2025-02-19 11:00:00-05:00,610.57,610.71,610.14,610.14,173792.0,
2025-02-19 11:05:00-05:00,610.75,610.78,610.55,610.58,124736.0,610.2587695619371
2025-02-19 11:10:00-05:00,611.23,611.25,610.66,610.75,236102.0,610.3512676988955
2025-02-19 11:15:00-05:00,611.14,611.26,611.0,611.19,221710.0,610.4263850609054
2025-02-19 11:20:00-05:00,611.1,611.18,610.96,611.13,99462.0,610.4905388646288
2025-02-19 11:25:00-05:00,611.18,611.25,611.09,611.12,82266.0,610.5562018299022
2025-02-19 11:30:00-05:00,611.24,611.28,610.98,611.17,103033.0,610.6213254651497
2025-02-19 11:35:00-05:00,611.15,611.29,611.08,611.23,109026.0,610.6716754208497
2025-02-19 11:40:00-05:00,611.68,611.68,611.15,611.15,190778.0,610.7677063331497
2025-02-19 11:45:00-05:00,611.47,611.77,611.46,611.69,131497.0,610.8345914442783
2025-02-19 11:50:00-05:00,611.7,611.72,611.47,611.48,81296.0,610.917011306728
2025-02-19 11:55:00-05:00,611.7,611.77,611.6,611.69,172299.0,610.9915816584682
2025-02-19 12:00:00-05:00,611.83,611.96,611.62,611.66,104452.0,611.0714310243284
2025-02-19 12:05:00-05:00,611.82,611.84,611.74,611.82,110830.0,611.1427233077256
2025-02-19 12:10:00-05:00,611.59,611.84,611.42,611.82,157703.0,611.1853210879423
2025-02-19 12:15:00-05:00,611.45,611.6,611.39,611.58,99251.0,611.2105286033764
2025-02-19 12:20:00-05:00,611.13,611.5,611.13,611.45,115104.0,611.2028592125786
2025-02-19 12:25:00-05:00,611.05,611.23,611.01,611.12,131990.0,611.188301192333
2025-02-19 12:30:00-05:00,610.94,611.12,610.86,611.06,111987.0,611.1646534597298
2025-02-19 12:35:00-05:00,611.13,611.19,610.91,610.94,138335.0,611.1613531302318
2025-02-19 12:40:00-05:00,611.28,611.34,611.05,611.13,80130.0,611.1726528321144
2025-02-19 12:45:00-05:00,611.4,611.42,611.19,611.27,48888.0,611.1943049433416
2025-02-19 12:50:00-05:00,611.72,611.82,611.42,611.42,134556.0,611.2443711392139
2025-02-19 12:55:00-05:00,611.56,611.82,611.55,611.73,133998.0,611.2744310307173
2025-02-19 13:00:00-05:00,611.42,611.59,611.37,611.56,126151.0,611.2882947420776
2025-02-19 13:05:00-05:00,611.1,611.43,611.04,611.43,84612.0,611.2703619094988
